date,product_id,product_name,category,warehouse_id,warehouse,supplier_id,supplier,lead_time_days,price,discount,promotion,units_sold,inventory_level,revenue,stockout
2022-01-01,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62127.54,0.0,0,76.0,1679.0,4721693.3,0
2022-01-02,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66352.47,17.02,1,86.0,1593.0,5706312.57,0
2022-01-03,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62942.13,0.0,0,57.0,1536.0,3587701.37,0
2022-01-04,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65160.92,0.0,0,61.0,1475.0,3974815.93,0
2022-01-05,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62656.71,0.0,0,76.0,1399.0,4761909.97,0
2022-01-06,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64131.35,0.0,0,54.0,1345.0,3463093.01,0
2022-01-07,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65092.52,0.0,0,66.0,1279.0,4296106.57,0
2022-01-08,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62051.93,0.0,0,87.0,1192.0,5398517.71,0
2022-01-09,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62384.87,0.0,0,69.0,1123.0,4304555.94,0
2022-01-10,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64610.99,0.0,0,72.0,1051.0,4651991.37,0
2022-01-11,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67660.58,0.0,0,61.0,990.0,4127295.54,0
2022-01-12,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66056.39,0.0,0,68.0,922.0,4491834.85,0
2022-01-13,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62951.55,0.0,0,99.0,1549.0,6232203.84,0
